eat,im,food,feel,dont,ur,body,healthy,stop,shit,fuck,make,day,ed,brain,eating,gonna,friends,fucking,full
question,answer,school,year,people,family,uk,care,baby,years,back,anon,parents,home,hospital,months,children,social,time,group
eat,food,eating,weight,body,calories,binge,good,healthy,cake,make,meals,lunch,ate,lose,meal,breakfast,foods,hungry,dinner
im,dont,shit,ur,fucking,bc,lol,gonna,feel,fuck,ive,literally,make,wanna,money,life,ass,hate,ppl,people
day,today,time,good,days,home,morning,run,night,friends,back,tomorrow,baby,bed,bad,inpatient,made,nice,room,hours
therapy,session,things,week,talk,bit,time,therapist,feel,felt,back,thought,end,talking,asked,good,thinking,told,thing,mum
feel,people,recovery,life,things,hope,hard,eating,lot,ed,make,disorder,answer,love,question,time,person,bad,find,post
question,answer,school,people,family,year,uk,home,parents,care,baby,hospital,months,children,live,social,foster,years,long,babies
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,lunch,lose,meal,breakfast,foods,dinner,make,hungry
im,dont,shit,fucking,ur,bc,lol,gonna,feel,fuck,ive,literally,wanna,money,ass,make,life,hate,time,ppl
day,today,time,good,days,home,morning,friends,night,run,back,baby,tomorrow,hours,nice,bed,bad,inpatient,made,room
therapy,session,things,week,time,talk,bit,therapist,feel,back,felt,end,thought,talking,asked,thinking,good,told,feels,thing
feel,people,recovery,life,things,hope,eating,love,ed,hard,make,disorder,lot,time,question,answer,person,find,bad,post
question,answer,school,family,people,parents,care,uk,year,baby,home,children,stay,hospital,years,babies,social,foster,long,allowed
eat,eating,food,weight,body,calories,binge,healthy,good,cake,ate,meals,lunch,meal,lose,breakfast,make,foods,dinner,hungry
im,dont,shit,ur,fucking,feel,bc,lol,gonna,fuck,ive,literally,make,life,ass,hate,wanna,money,time,sick
day,today,time,good,days,home,morning,night,back,run,friends,bad,nice,tomorrow,hours,bed,baby,inpatient,made,room
therapy,session,things,week,time,talk,bit,therapist,feel,felt,back,thought,end,talking,thinking,asked,thing,feeling,good,head
feel,people,recovery,life,things,eating,ed,hope,question,make,love,lot,hard,disorder,answer,time,person,bad,find,good
answer,question,school,people,family,uk,parents,year,care,baby,home,hospital,social,children,foster,allowed,group,long,babies,months
eat,food,eating,weight,body,calories,binge,healthy,good,ate,cake,meals,meal,lose,lunch,breakfast,foods,hungry,fat,control
im,dont,shit,fucking,ur,bc,lol,gonna,feel,fuck,ive,literally,life,wanna,hate,money,ass,time,make,work
day,today,time,good,days,home,morning,back,night,run,made,baby,bad,tomorrow,hours,friends,nice,bed,inpatient,room
therapy,feel,session,things,time,week,talk,therapist,bit,back,felt,end,thought,talking,asked,thinking,good,feeling,told,part
people,feel,life,recovery,things,hope,make,eating,ed,love,hard,lot,disorder,answer,question,time,person,bad,find,back
question,answer,school,people,parents,year,family,baby,uk,home,care,hospital,children,social,babies,foster,allowed,group,long,stay
eat,eating,food,weight,body,calories,binge,healthy,good,cake,lunch,meals,ate,feel,meal,lose,foods,breakfast,make,hungry
im,dont,shit,ur,fucking,bc,gonna,lol,feel,fuck,ive,literally,ass,wanna,make,money,life,sick,ppl,hate
day,today,time,good,days,home,morning,night,run,back,tomorrow,bad,friends,hours,bed,inpatient,made,room,nice,great
therapy,session,things,time,week,talk,bit,feel,therapist,felt,thought,back,end,talking,asked,thinking,feels,thing,good,told
feel,people,recovery,life,answer,question,things,ed,hope,eating,disorder,make,hard,love,lot,bad,time,person,find,thing
question,answer,school,people,family,year,home,baby,uk,parents,back,hospital,care,months,social,years,children,foster,group,stay
eat,eating,food,weight,body,calories,binge,healthy,good,cake,meals,ate,lunch,make,breakfast,meal,lose,foods,dinner,hungry
im,dont,shit,ur,fucking,bc,lol,gonna,feel,fuck,ive,literally,money,ass,time,wanna,hate,life,make,ppl
day,today,time,good,days,morning,home,back,night,run,friends,tomorrow,hours,nice,bed,baby,inpatient,bad,made,room
therapy,session,things,feel,week,time,talk,therapist,bit,felt,back,end,thought,talking,good,asked,thinking,told,thing,feels
people,feel,life,recovery,question,answer,things,hope,eating,love,ed,time,make,disorder,hard,person,lot,bad,good,find
question,answer,school,people,family,uk,year,parents,baby,care,home,hospital,social,children,long,months,years,babies,foster,allowed
eat,eating,food,weight,body,calories,binge,healthy,cake,lunch,meals,ate,meal,good,lose,make,breakfast,foods,dinner,hungry
im,dont,shit,fucking,ur,lol,gonna,feel,bc,fuck,ive,literally,make,wanna,ass,money,time,hate,ppl,life
day,today,time,good,days,home,morning,back,night,run,bad,baby,tomorrow,friends,hours,bed,nice,inpatient,room,made
therapy,things,session,week,feel,time,talk,bit,therapist,felt,back,talking,thought,end,feeling,asked,thinking,thing,good,told
people,feel,recovery,life,question,answer,things,ed,love,hope,hard,eating,disorder,make,lot,person,time,bad,find,thing
question,answer,school,people,family,year,baby,uk,parents,home,care,months,time,hospital,children,babies,allowed,stay,group,long
eat,eating,food,weight,body,calories,binge,healthy,cake,ate,meals,good,lunch,lose,breakfast,meal,foods,hungry,fat,make
im,dont,shit,fucking,ur,bc,feel,lol,gonna,fuck,time,ive,literally,money,hate,ass,wanna,make,life,ppl
day,today,time,good,days,home,morning,bad,back,night,run,made,friends,tomorrow,hours,bed,inpatient,nice,room,baby
therapy,things,session,week,feel,time,talk,therapist,bit,felt,back,thought,talking,end,asked,good,feels,told,thinking,feeling
feel,people,life,recovery,question,answer,things,eating,make,hope,disorder,ed,time,hard,love,lot,person,bad,find,post
question,answer,school,people,family,year,baby,uk,parents,hospital,home,care,back,time,children,allowed,babies,foster,months,group
eat,eating,food,weight,body,calories,binge,healthy,good,cake,meals,lunch,ate,meal,lose,breakfast,make,foods,dinner,hungry
im,dont,shit,fucking,ur,bc,lol,gonna,feel,fuck,ive,literally,wanna,money,ass,time,hate,make,ppl,ill
day,today,time,good,days,home,morning,back,night,run,friends,nice,bad,bed,made,hours,tomorrow,baby,great,inpatient
therapy,session,week,things,time,feel,talk,bit,therapist,felt,back,thought,talking,end,asked,thing,good,thinking,told,feeling
people,feel,recovery,life,question,answer,things,eating,make,ed,hope,love,disorder,hard,lot,person,time,bad,good,find
question,answer,school,family,people,uk,year,baby,parents,home,hospital,care,children,babies,months,foster,years,social,group,back
eat,eating,food,weight,body,calories,binge,good,healthy,cake,ate,meals,lunch,lose,meal,breakfast,feel,foods,hungry,fat
im,dont,shit,ur,fucking,bc,lol,gonna,feel,fuck,ive,time,literally,wanna,ass,hate,money,life,make,body
day,today,time,good,days,home,morning,back,run,night,bad,friends,tomorrow,bed,hours,nice,baby,made,room,house
therapy,session,week,feel,things,time,talk,therapist,bit,felt,back,talking,end,thought,thinking,asked,told,good,mum,part
feel,people,recovery,life,answer,question,things,eating,ed,love,hope,lot,disorder,time,hard,make,person,bad,thing,back
question,answer,school,people,year,family,parents,uk,home,care,hospital,years,baby,children,time,babies,foster,group,social,allowed
eat,eating,food,weight,body,calories,binge,healthy,cake,lunch,meals,ate,good,lose,meal,make,breakfast,foods,hungry,dinner
im,dont,shit,ur,fucking,bc,feel,lol,gonna,fuck,ive,make,literally,money,wanna,ass,time,life,hate,body
day,today,time,good,days,home,morning,night,run,baby,tomorrow,bad,bed,back,nice,friends,hours,made,room,inpatient
therapy,session,things,week,time,talk,feel,therapist,bit,felt,back,talking,end,thought,asked,thinking,told,good,feeling,thing
feel,people,recovery,life,question,answer,things,eating,ed,disorder,hope,make,love,hard,time,person,bad,lot,find,thing
question,answer,school,people,year,family,uk,parents,baby,home,hospital,time,years,children,care,stay,foster,group,week,babies
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,lunch,lose,breakfast,meal,foods,dinner,hungry,fat
im,dont,shit,ur,fucking,lol,bc,gonna,feel,fuck,ive,make,literally,wanna,ass,hate,money,life,time,ppl
day,today,time,good,home,morning,days,back,night,run,baby,tomorrow,bed,friends,nice,made,bad,running,room,hours
therapy,session,things,week,feel,time,talk,therapist,bit,felt,back,talking,end,thought,good,asked,thinking,told,feels,part
people,feel,recovery,life,question,answer,eating,things,love,hard,hope,make,ed,time,disorder,lot,person,bad,thing,find
question,answer,school,family,people,year,baby,uk,parents,hospital,home,children,care,babies,years,foster,back,weeks,stay,time
eat,eating,food,weight,body,calories,binge,healthy,good,cake,ate,meals,lunch,lose,breakfast,make,meal,foods,dinner,hungry
im,dont,shit,fucking,ur,bc,lol,gonna,feel,fuck,ive,literally,life,money,wanna,ass,time,make,hate,ppl
day,today,time,good,days,home,morning,night,run,bad,back,friends,tomorrow,bed,nice,hours,baby,made,room,inpatient
therapy,session,things,week,feel,time,talk,therapist,bit,felt,back,talking,thought,end,asked,thinking,told,good,feeling,feels
feel,people,recovery,life,question,answer,things,love,hard,hope,eating,ed,make,disorder,lot,person,bad,good,time,find
answer,question,school,people,family,uk,baby,parents,year,hospital,care,home,time,long,years,months,foster,babies,children,social
eat,eating,food,weight,body,calories,binge,healthy,good,cake,meals,lunch,ate,make,meal,breakfast,foods,hungry,lose,fat
im,dont,shit,fucking,ur,feel,lol,bc,gonna,fuck,ive,time,literally,make,wanna,money,ass,life,hate,ppl
day,today,time,good,home,back,morning,days,night,run,friends,bad,tomorrow,hours,bed,made,nice,baby,inpatient,running
therapy,session,things,week,time,feel,talk,therapist,bit,felt,back,talking,thought,end,good,asked,thinking,feeling,thing,part
feel,people,recovery,answer,life,question,things,eating,love,hope,ed,disorder,lot,hard,time,make,person,bad,find,good
question,answer,school,people,year,baby,parents,family,uk,home,hospital,care,week,back,children,babies,months,years,foster,allowed
eat,eating,food,weight,body,calories,binge,good,cake,meals,make,healthy,ate,lunch,feel,meal,lose,breakfast,control,foods
im,dont,shit,ur,fucking,feel,lol,bc,gonna,ive,make,fuck,literally,wanna,time,ass,money,life,hate,work
day,today,time,good,days,home,morning,back,night,run,tomorrow,nice,bed,bad,friends,hours,made,baby,room,inpatient
therapy,session,things,week,time,feel,talk,therapist,bit,felt,talking,back,thought,end,asked,thinking,told,good,thing,stuff
people,feel,recovery,life,question,answer,things,hope,love,hard,ed,eating,time,disorder,make,lot,person,find,good,post
question,answer,school,people,year,family,baby,uk,parents,hospital,home,care,children,years,months,foster,long,babies,group,social
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,make,lose,lunch,feel,meal,foods,breakfast,hungry
im,dont,shit,ur,fucking,feel,lol,bc,gonna,fuck,ive,make,literally,time,hate,ass,wanna,money,life,ppl
day,today,time,good,home,morning,days,back,bad,night,run,friends,tomorrow,bed,nice,baby,hours,room,inpatient,made
therapy,session,week,things,feel,talk,time,therapist,bit,felt,back,thought,talking,end,good,asked,thinking,thing,feels,told
people,feel,question,recovery,answer,life,things,eating,hope,love,hard,ed,disorder,time,make,lot,person,find,good,back
question,answer,school,people,family,baby,uk,parents,year,home,care,hospital,babies,months,foster,week,children,years,weeks,social
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,lose,lunch,meal,breakfast,make,feel,foods,hungry
im,dont,shit,ur,fucking,lol,bc,gonna,feel,fuck,ive,time,literally,make,wanna,ass,life,money,hate,body
day,today,time,good,days,home,morning,night,run,back,friends,bad,tomorrow,bed,hours,baby,nice,made,inpatient,running
therapy,session,time,feel,things,week,talk,bit,therapist,felt,back,talking,thought,end,asked,thinking,good,feels,told,stuff
feel,people,life,recovery,question,answer,things,hope,eating,ed,make,love,time,disorder,hard,person,lot,bad,find,care
question,answer,school,people,baby,family,uk,year,home,hospital,parents,years,back,children,care,foster,babies,months,week,social
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,lose,ate,lunch,meal,breakfast,foods,hungry,feel,fat
im,dont,shit,ur,fucking,feel,lol,bc,gonna,fuck,ive,wanna,literally,time,ass,make,money,body,hate,people
day,today,time,good,days,home,morning,back,night,run,hours,made,bad,tomorrow,bed,friends,nice,baby,room,inpatient
therapy,session,things,week,time,feel,talk,bit,therapist,felt,back,talking,end,thought,asked,good,thinking,told,feeling,mum
feel,people,question,answer,recovery,life,things,eating,love,hard,ed,make,hope,disorder,person,time,lot,find,bad,post
question,answer,school,people,family,uk,year,baby,parents,home,care,children,months,stay,babies,hospital,time,foster,years,long
eat,eating,food,weight,body,calories,binge,good,healthy,cake,lunch,meals,ate,meal,lose,make,foods,breakfast,hungry,feel
im,dont,shit,ur,fucking,lol,bc,feel,gonna,fuck,ive,time,life,make,wanna,literally,ass,money,hate,ppl
day,today,time,good,days,home,back,morning,run,night,tomorrow,bad,bed,friends,made,baby,hours,nice,running,inpatient
therapy,session,time,things,week,feel,talk,bit,therapist,back,felt,talking,thought,end,asked,good,told,thing,thinking,feeling
feel,people,question,answer,recovery,life,things,love,ed,hard,hope,make,eating,disorder,lot,person,time,find,bad,good
question,answer,school,people,family,uk,year,parents,home,baby,care,babies,children,hospital,months,foster,group,social,time,years
eat,eating,food,weight,body,calories,binge,good,healthy,ate,cake,meals,lunch,breakfast,meal,make,lose,foods,feel,dinner
im,dont,shit,fucking,ur,lol,feel,bc,gonna,time,fuck,ive,life,make,literally,ass,wanna,money,body,hate
day,today,time,good,home,days,morning,back,night,run,friends,tomorrow,baby,hours,bed,bad,inpatient,made,room,nice
therapy,session,week,things,time,feel,talk,bit,therapist,back,felt,talking,thought,end,asked,thinking,good,feeling,thing,told
people,feel,question,recovery,answer,life,things,eating,love,hope,make,ed,hard,disorder,person,time,lot,bad,find,post
question,answer,school,people,year,family,uk,baby,parents,home,hospital,social,babies,foster,care,children,months,years,group,back
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,lunch,meal,lose,make,breakfast,foods,hungry,dinner
im,dont,shit,feel,fucking,ur,lol,bc,gonna,time,fuck,ive,literally,life,ass,wanna,money,make,people,hate
day,today,time,good,home,days,morning,back,night,run,tomorrow,friends,bad,bed,hours,baby,inpatient,nice,made,room
therapy,session,things,feel,week,talk,time,bit,therapist,back,felt,thought,talking,end,asked,good,thinking,told,feeling,thing
people,feel,question,answer,recovery,life,things,eating,ed,hope,disorder,make,love,hard,lot,person,time,good,find,bad
answer,question,school,people,family,year,uk,parents,baby,home,time,hospital,care,back,babies,foster,months,years,long,social
eat,eating,food,weight,body,calories,binge,healthy,cake,good,meals,make,lunch,meal,ate,lose,breakfast,foods,feel,hungry
im,dont,shit,ur,fucking,feel,lol,bc,gonna,fuck,ive,time,literally,wanna,ass,make,life,hate,money,sick
day,today,time,good,home,morning,night,back,run,days,bad,bed,tomorrow,hours,nice,friends,baby,sleep,room,made
therapy,session,things,week,feel,time,bit,therapist,talk,felt,back,talking,end,thought,good,asked,told,thinking,thing,feeling
people,feel,question,answer,recovery,life,eating,things,love,hope,hard,disorder,make,ed,lot,person,good,time,find,bad
question,answer,school,family,people,uk,year,baby,parents,home,care,children,years,back,babies,foster,months,time,week,unit
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,lunch,make,ate,meal,breakfast,lose,foods,hungry,dinner
im,dont,shit,ur,fucking,feel,lol,bc,gonna,life,ive,fuck,literally,ass,wanna,time,make,money,hate,body
day,today,time,good,home,days,morning,back,run,night,bad,tomorrow,bed,friends,baby,inpatient,hours,nice,made,room
therapy,session,things,feel,time,week,talk,bit,therapist,felt,back,talking,end,thought,feeling,asked,thinking,good,feels,thing
people,feel,answer,question,recovery,life,things,eating,hope,ed,love,disorder,hard,time,person,make,lot,find,bad,good
question,answer,school,people,family,year,uk,baby,parents,home,hospital,back,years,week,foster,children,group,care,babies,months
eat,eating,food,weight,body,calories,binge,healthy,cake,good,feel,meals,lunch,ate,lose,breakfast,meal,make,foods,hungry
im,dont,shit,ur,fucking,feel,bc,lol,gonna,fuck,make,ive,time,life,literally,ass,wanna,money,hate,give
day,today,time,good,days,home,morning,night,run,back,friends,bad,made,tomorrow,baby,bed,hours,nice,inpatient,room
therapy,session,time,things,week,talk,feel,therapist,bit,felt,back,talking,end,thought,good,asked,thinking,feels,feeling,told
people,feel,question,answer,recovery,life,things,eating,love,hope,ed,hard,time,disorder,make,person,lot,find,good,thing
answer,question,school,people,family,uk,baby,home,year,parents,care,back,hospital,social,foster,children,babies,years,allowed,unit
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,meal,lunch,make,lose,breakfast,foods,feel,hungry
im,dont,feel,shit,fucking,ur,lol,bc,gonna,fuck,ive,wanna,make,literally,ass,time,life,hate,money,ppl
day,today,time,good,days,morning,home,night,run,bad,back,tomorrow,nice,bed,baby,friends,inpatient,hours,made,running
therapy,session,things,time,feel,week,talk,therapist,bit,back,felt,talking,thought,end,asked,good,thinking,feels,told,feeling
people,feel,question,answer,recovery,life,eating,things,hope,ed,disorder,love,time,hard,person,lot,make,find,post,bad
question,answer,school,people,baby,uk,parents,family,year,home,back,care,hospital,children,babies,foster,social,months,years,group
eat,eating,food,weight,body,calories,binge,healthy,good,make,cake,ate,meals,lunch,feel,lose,meal,breakfast,foods,dinner
im,dont,shit,ur,fucking,feel,lol,bc,time,gonna,fuck,ive,make,wanna,ass,literally,life,money,hate,ppl
day,today,time,good,days,home,morning,night,run,back,bad,bed,tomorrow,baby,friends,room,nice,hours,made,inpatient
therapy,session,things,time,feel,week,talk,therapist,bit,felt,back,talking,thought,end,good,asked,thinking,feeling,told,feels
people,feel,answer,question,recovery,life,things,eating,hope,love,ed,disorder,time,make,hard,lot,person,find,care,good
question,answer,school,people,uk,family,year,baby,parents,hospital,back,long,home,foster,children,care,babies,social,group,months
eat,eating,food,weight,body,calories,binge,healthy,good,cake,feel,meals,ate,make,lunch,meal,breakfast,lose,foods,brain
im,dont,shit,ur,feel,fucking,bc,lol,gonna,fuck,ive,life,time,make,wanna,people,ass,literally,money,hate
day,today,time,good,home,morning,night,days,run,tomorrow,baby,back,bed,friends,bad,hours,inpatient,nice,made,great
therapy,session,time,things,week,feel,talk,therapist,bit,felt,back,talking,thought,end,good,asked,thing,feeling,thinking,told
people,feel,answer,question,recovery,life,things,love,eating,hope,ed,hard,lot,disorder,time,person,make,good,post,thing
question,answer,school,people,family,uk,year,home,baby,parents,hospital,years,care,back,foster,children,week,babies,months,social
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,make,ate,feel,meal,lunch,lose,foods,breakfast,hungry
im,dont,shit,ur,feel,fucking,lol,bc,gonna,fuck,time,ive,make,literally,ass,body,wanna,money,hate,life
day,today,time,good,days,home,morning,run,back,night,bad,baby,bed,tomorrow,hours,friends,nice,room,sleep,inpatient
therapy,session,things,feel,time,week,therapist,talk,bit,back,felt,talking,thought,end,asked,good,told,thinking,thing,feeling
people,feel,question,answer,recovery,life,things,eating,hope,ed,love,disorder,hard,time,make,lot,person,bad,find,good
answer,question,school,people,uk,family,year,home,parents,baby,care,hospital,foster,children,years,babies,week,months,group,unit
eat,eating,food,weight,body,calories,binge,cake,healthy,good,meals,ate,feel,make,lunch,day,breakfast,meal,lose,foods
im,dont,shit,ur,feel,fucking,lol,bc,time,gonna,fuck,ive,make,literally,wanna,life,ass,money,hate,people
day,today,time,good,home,morning,days,back,run,night,baby,tomorrow,bed,hours,bad,nice,inpatient,friends,made,room
therapy,session,feel,time,things,week,therapist,talk,bit,felt,back,talking,thought,end,good,asked,told,thing,thinking,mum
people,question,answer,feel,recovery,life,eating,things,love,hope,disorder,ed,hard,time,make,lot,person,find,bad,back
question,answer,school,people,baby,uk,family,home,parents,year,years,care,hospital,social,foster,babies,group,children,back,unit
eat,eating,food,weight,body,calories,binge,feel,healthy,cake,ate,meals,good,lunch,lose,make,meal,breakfast,foods,hungry
im,dont,ur,shit,fucking,feel,lol,bc,gonna,time,ive,fuck,make,life,literally,ass,wanna,money,body,hate
day,today,time,good,home,back,morning,days,night,run,bed,tomorrow,bad,baby,hours,friends,inpatient,room,nice,made
therapy,session,time,things,feel,week,talk,bit,therapist,felt,back,talking,thought,end,good,asked,feeling,told,feels,thinking
feel,people,question,answer,recovery,life,things,eating,hope,love,ed,make,hard,disorder,time,lot,person,find,back,post
answer,question,school,people,uk,baby,year,family,hospital,home,parents,care,foster,children,babies,years,social,back,time,week
eat,eating,food,weight,body,calories,binge,good,healthy,cake,feel,meals,ate,lunch,meal,lose,breakfast,brain,make,foods
im,dont,shit,ur,fucking,lol,bc,feel,gonna,ive,fuck,time,literally,life,make,ass,money,wanna,hate,people
day,today,time,good,home,days,morning,back,night,run,bad,tomorrow,bed,baby,friends,hours,nice,made,running,room
therapy,session,time,things,week,feel,therapist,talk,bit,back,felt,talking,thought,end,asked,good,thinking,mum,feels,thing
people,question,answer,recovery,feel,life,eating,things,love,disorder,ed,hope,hard,make,lot,person,time,good,bad,find
answer,question,school,people,uk,family,baby,year,home,parents,hospital,foster,years,children,babies,care,back,allowed,live,social
eat,eating,food,weight,body,calories,binge,good,healthy,feel,cake,ate,meals,lunch,meal,make,lose,breakfast,day,foods
im,dont,feel,ur,shit,fucking,lol,bc,gonna,time,fuck,ive,make,ass,life,literally,wanna,hate,money,people
day,today,time,good,home,morning,back,days,night,run,bed,baby,friends,tomorrow,made,bad,hours,inpatient,running,nice
therapy,session,feel,things,time,week,talk,therapist,bit,felt,back,talking,thought,end,asked,feeling,good,thinking,thing,mum
people,question,answer,recovery,feel,life,things,eating,hope,disorder,ed,love,hard,make,person,lot,time,good,find,back
answer,question,school,people,uk,year,baby,family,hospital,parents,home,care,foster,children,babies,social,months,years,week,long
eat,eating,food,weight,body,calories,binge,good,feel,healthy,cake,meals,lunch,ate,day,lose,meal,breakfast,make,foods
im,dont,shit,feel,ur,fucking,bc,lol,gonna,time,fuck,ive,make,life,literally,ass,money,wanna,body,people
day,today,time,good,home,days,morning,back,night,run,baby,bed,bad,friends,tomorrow,hours,nice,made,feel,sleep
therapy,session,feel,time,things,week,talk,therapist,bit,felt,talking,back,end,thought,asked,good,thinking,told,feeling,thing
answer,question,people,feel,recovery,life,eating,things,disorder,hope,love,ed,time,hard,make,person,lot,good,find,bad
question,answer,school,people,baby,uk,family,parents,year,home,social,foster,children,care,hospital,babies,back,years,week,unit
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,ate,feel,lunch,meal,lose,make,breakfast,foods,hungry
im,dont,shit,ur,feel,fucking,lol,bc,gonna,time,fuck,ive,life,make,literally,ass,body,wanna,money,hate
day,today,time,good,home,morning,back,days,run,night,bed,tomorrow,friends,baby,bad,hours,made,room,inpatient,nice
therapy,session,things,feel,week,time,therapist,talk,bit,felt,back,talking,thought,end,asked,good,thinking,told,mum,feels
question,people,answer,feel,recovery,life,things,eating,love,hope,ed,disorder,make,hard,person,lot,time,good,bad,post
question,answer,school,people,uk,baby,family,parents,home,year,time,hospital,babies,foster,care,children,back,unit,social,group
eat,eating,food,weight,body,calories,binge,good,healthy,cake,feel,meals,make,ate,lunch,lose,meal,foods,breakfast,hungry
im,dont,feel,shit,ur,fucking,lol,bc,time,gonna,fuck,ive,life,ass,money,make,wanna,literally,hate,people
day,today,time,good,back,home,morning,days,night,run,bad,tomorrow,bed,baby,friends,hours,feel,nice,made,running
therapy,session,things,week,time,feel,therapist,talk,bit,felt,back,talking,end,thought,asked,good,feeling,thing,feels,told
people,answer,question,feel,recovery,life,things,eating,love,make,ed,hope,disorder,hard,person,lot,bad,time,find,post
question,answer,school,people,baby,uk,family,parents,year,home,back,babies,hospital,time,foster,years,group,care,unit,children
eat,eating,food,weight,body,calories,binge,good,healthy,cake,meals,lunch,day,ate,feel,lose,breakfast,meal,foods,dinner
im,dont,shit,ur,feel,fucking,lol,gonna,bc,time,ive,fuck,make,life,ass,wanna,money,literally,people,body
day,today,time,good,home,morning,days,back,night,run,bed,tomorrow,hours,friends,baby,nice,bad,hard,inpatient,made
therapy,session,feel,time,week,things,talk,therapist,bit,felt,back,talking,end,thought,asked,good,thinking,told,mum,feels
people,question,answer,feel,recovery,life,things,eating,hope,disorder,ed,time,hard,love,lot,person,make,good,find,bad
question,answer,school,people,family,uk,baby,home,year,care,parents,hospital,years,foster,babies,children,months,back,week,social
eat,eating,food,weight,body,calories,binge,good,feel,cake,healthy,meals,ate,day,make,lunch,breakfast,lose,meal,foods
im,dont,shit,ur,feel,fucking,lol,bc,gonna,ive,fuck,time,make,literally,life,ass,money,hate,wanna,body
day,today,time,good,home,morning,back,night,run,days,bad,bed,friends,tomorrow,baby,hours,made,inpatient,room,nice
therapy,session,feel,week,things,time,bit,therapist,talk,felt,back,talking,thought,end,asked,good,told,feeling,thing,mum
people,question,answer,recovery,feel,life,things,eating,love,ed,hard,hope,disorder,make,time,lot,person,find,post,good
answer,question,school,people,uk,family,baby,year,parents,home,care,foster,years,back,babies,week,children,long,hospital,social
eat,eating,food,weight,body,calories,binge,good,feel,day,cake,healthy,ate,meals,make,meal,lunch,breakfast,lose,foods
im,dont,feel,ur,shit,fucking,lol,bc,gonna,life,time,fuck,ive,make,people,literally,ass,wanna,body,money
day,today,time,good,home,days,back,morning,night,run,baby,bed,bad,tomorrow,hours,feel,friends,made,inpatient,running
therapy,session,things,time,feel,week,talk,therapist,bit,felt,talking,back,end,thought,asked,good,thing,thinking,told,mum
people,feel,question,answer,recovery,life,eating,things,hope,love,disorder,ed,hard,lot,time,make,person,find,good,bad
question,answer,school,people,uk,baby,home,year,family,care,parents,hospital,foster,children,babies,long,unit,social,group,kids
eat,eating,food,weight,body,calories,binge,good,healthy,feel,cake,meals,day,lunch,make,meal,ate,breakfast,lose,foods
im,dont,shit,feel,ur,fucking,time,lol,bc,gonna,make,fuck,ive,life,people,ass,literally,wanna,hate,money
day,today,time,good,home,morning,back,days,night,run,bad,bed,tomorrow,baby,hours,nice,friends,inpatient,room,made
therapy,session,things,feel,week,time,therapist,talk,bit,back,felt,talking,end,thought,asked,thinking,thing,good,told,feeling
people,answer,question,feel,recovery,life,things,eating,love,hope,ed,time,disorder,make,hard,person,lot,thing,post,bad
question,answer,school,people,family,uk,baby,year,home,parents,hospital,week,foster,care,children,babies,years,social,time,months
eat,eating,food,weight,body,calories,binge,good,feel,healthy,cake,meals,ate,lunch,make,meal,breakfast,lose,foods,day
im,dont,feel,shit,ur,fucking,lol,bc,gonna,fuck,ive,people,life,time,ass,literally,make,money,hate,wanna
day,today,time,good,home,morning,night,days,run,back,baby,bed,tomorrow,friends,bad,nice,hours,made,feel,inpatient
therapy,session,time,things,feel,week,therapist,talk,bit,felt,back,talking,thought,good,end,asked,feels,thinking,told,feeling
people,question,answer,recovery,feel,life,things,eating,love,disorder,ed,hope,hard,lot,make,person,time,find,good,post
question,answer,school,people,uk,baby,family,home,parents,year,care,babies,foster,back,hospital,children,social,months,week,time
eat,eating,food,weight,body,calories,binge,feel,good,healthy,cake,meals,make,ate,lunch,meal,day,breakfast,lose,foods
im,dont,ur,shit,fucking,feel,lol,gonna,bc,fuck,time,ive,life,make,ass,literally,wanna,body,money,people
day,today,time,good,home,morning,back,days,night,run,bad,bed,baby,tomorrow,hours,nice,friends,made,inpatient,great
therapy,session,feel,things,time,week,therapist,talk,bit,back,felt,talking,thought,end,asked,good,thing,thinking,told,mum
people,answer,question,feel,recovery,life,things,eating,hope,ed,love,disorder,lot,hard,person,make,time,find,bad,post
question,answer,school,people,uk,baby,parents,family,year,home,foster,time,hospital,babies,care,children,years,social,months,group
eat,eating,food,weight,body,calories,binge,good,healthy,cake,day,feel,meals,ate,lunch,lose,meal,make,breakfast,foods
im,dont,feel,ur,shit,fucking,lol,gonna,bc,time,fuck,ive,make,body,ass,wanna,literally,money,life,people
day,today,time,good,home,back,morning,days,night,run,bed,tomorrow,baby,bad,nice,friends,hours,inpatient,house,made
therapy,session,feel,time,things,week,therapist,talk,bit,back,felt,talking,thought,end,asked,good,feeling,thing,thinking,mum
people,answer,question,recovery,feel,life,eating,things,love,hope,disorder,ed,hard,lot,make,person,time,good,find,back
question,answer,school,people,uk,baby,home,family,parents,year,care,foster,babies,back,hospital,social,children,week,unit,months
